	1	
메리, 안녕!	大卫 : 玛丽，你好!	dàwèi : mǎlì ， nǐhǎo !
안녕, 데이빗!	玛丽 : 你好，大卫	mǎlì : nǐhǎo ， dàwèi
어떻게 지내니?	王兰: 你好吗?	wánglán : nǐhǎo mǎ ?
잘 지내. 넌 어떻게 지내니?	刘京: 很好。你好吗?	liújīng : hěn hào 。 nǐhǎo mǎ ?
나도 잘 지내.	王兰: 我也很好。	wánglán : wǒ yě hěn hào 。
삼	3	
안녕하십니까!	李老师 : 你早!	lilǎoshī : nǐ zǎo !
안녕하십니까!	王老师 : 你早!	wánglǎoshī : nǐ zǎo !
건강은 어떠신지요?	李老师 : 你身体好吗?	lilǎoshī : nǐ shēntǐ hào mǎ ?
좋습니다. 감사합니다.	王老师 : 很好。谢谢!	wánglǎoshī : hěn hào 。 xièxie !
너희들 잘 지내고 있니?	张老师 : 你们好吗?	zhānglǎoshī : nǐmenhào mǎ ?
저희는 모두 잘 지내요. 건강은 어떠세요?	学生A,B : 我们都很好。您身体好吗?	xuésheng A , b : wǒmen dōu hěn hào 。 nín shēntǐ hào mǎ ?
나도 매우 좋단다. 잘 가거라.	张老师 : 也很好。再见!	zhānglǎoshī : yě hěn hào 。 zàijiàn !
 안녕히 가세요.	学生A,B : 再见!	xuésheng A , b : zàijiàn !
5	5	
안녕하십니까!	李 : 你好!	lǐ : nǐhǎo !
안녕하십니까!	张 : 你好! 	zhāng : nǐhǎo ! 
일이 바쁘십니까?	李 : 你工作忙吗? 	lǐ : nǐ gōngzuò máng mǎ ? 
매우 바쁩니다. 당신은요?	张 : 很忙。你呢? 	zhāng : hěn máng 。 nǐ ní ? 
저는 그다지 바쁘지 않습니다.	李 : 我不太忙。 	lǐ : wǒ bùtàimáng 。 
안녕하세요.	大卫: 您早! 	dàwèi : nín zǎo ! 
선생님, 안녕하세요!	玛丽: 老师好! 	mǎlì : lǎoshī hào ! 
여러분 안녕!	张 : 你们好! 	zhāng : nǐmenhào ! 
선생님 바쁘세요?	大卫: 老师忙吗? 	dàwèi : lǎoshī máng mǎ ? 
매우 바쁘단다. 너희들은 어떠니?	张 : 很忙。你们呢? 	zhāng : hěn máng 。 nǐmen ní ? 
저는 바쁘지 않아요.	大卫: 我不忙。 	dàwèi : wǒ bùmáng 。 
저도 바쁘지 않아요.	玛丽: 我也不忙。 	mǎlì : wǒ yě bùmáng 。 
리우징, 안녕!	王兰 : 刘京，你好! 	wánglán : liújīng ， nǐhǎo ! 
안녕!	刘京 : 你好! 	liújīng : nǐhǎo ! 
아버지와 어머니께서는 건강하시니?	王兰 : 你爸爸，妈妈身体好吗? 	wánglán : nǐ bàba ， māma shēntǐ hào mǎ ? 
두 분 모두 건강하셔. 고마워!	刘京 : 他们都很好。谢谢! 	liújīng : tāmen dōu hěn hào 。 xièxie ! 
7	7	
전 메리라고 하는데요, 성이 어떻게 되세요?	玛丽：我叫玛丽，你姓什么？ 	mǎlì ：wǒ jiào mǎlì ， nǐ xìng shénme ？ 
제 성은 왕이고, 이름은 왕란이에요.	王兰：我姓王，我叫王兰。 	wánglán ：wǒxìng wáng ， wǒ jiào wánglán 。 
당신을 알게 되어 매우 기뻐요.	玛丽：认识你，很高兴。 	mǎlì ：rènshi nǐ ， hěn gāoxìng 。 
저도 당신을 알게 되어 매우 기뻐요.	王兰：认识你，我也很高兴。 	wánglán ：rènshi nǐ ， wǒ yě hěn gāoxìng 。 
8	8	
선생님, 성이 어떻게 되세요?	大卫：老师，您贵姓？ 	dàwèi ：lǎoshī ， nín guìxìng ？ 
내 성은 장이네. 자네 이름은 뭐지?	张 ：我姓张。你叫什么名字？ 	zhāng ：wǒ xìngzhāng 。 nǐ jiào shénme míngzì ？ 
제 이름은 데이빗입니다. 그녀의 성은 뭐죠?	大卫：我叫大卫。她姓什么？ 	dàwèi ：wǒ jiào dàwèi 。 tā xìng shénme ？ 
그녀는 왕씨야.	 张 ：她姓王。 	 zhāng ：tā xìng wáng 。 
그녀는 선생님인가요?	大卫：她是老师吗？ 	dàwèi ：tā shì lǎoshī mǎ ？ 
그녀는 선생님이 아니고 학생이네.	张 ：她不是老师，她是学生。 	zhāng ：tā bùshì lǎoshī ， tā shì xuésheng 。 
9	9	
왕란, 그는 누구니?	玛丽：王兰，他是谁？ 	mǎlì ：wánglán ， tā shì shuí ？ 
메리구나. 소개해줄게. 이쪽은 우리 오빠야.	王兰：玛丽，我介绍一下儿，这是我哥哥。 	wánglán ：mǎlì ， wǒ jièshào yīxià r ， zhè shì wǒ gēge 。 
나는 왕린이라고 해. 만나서 반갑다.	王林：我叫王林。认识你，很高兴。 	wánglín ：wǒ jiào wánglín 。 rènshi nǐ ， hěn gāoxìng 。 
저도 만나뵙게 되어 매우 기뻐요.	玛丽：认识你，我也很高兴。 	mǎlì ：rènshi nǐ ， wǒ yě hěn gāoxìng 。 
어디에 가니?	王兰：你去哪儿？ 	wánglán ：nǐ qù nǎr ？ 
북경대학에 가. 어디에 가는데?	玛丽：我去北京大学。你们去哪儿？ 	mǎlì ：wǒ qù běijīngdàxué 。 nǐmen qù nǎr ？ 
우리는 상점에 가는 길이야.	王林：我们去商店。 	wánglín ：wǒmen qù shāngdiàn 。 
안녕!	玛丽：再见! 	mǎlì ：zàijiàn ! 
안녕!	王兰、王林：再见! 	wánglán wánglín ：zàijiàn ! 
10	10	
장 선생님 집에 계세요?	和子：张老师在家吗？ 	hézi ：zhānglǎoshī zàijiā mǎ ？ 
계시는데요. 당신은……	小英：在。您是 ― 	xiǎoyīng ：zai 。 nín shì ― 
나는 장 선생님의 제자입니다.성은 야마시타이고 이름은 가즈코라고 하는데요. 당신은……	和子：我是张老师的学生，我姓山下，我叫和子。你是 ― 	hézi ：wǒ shì zhānglǎoshī de xuésheng ， wǒxìng shānxià ， wǒ jiào hé zi 。 nǐ shì ― 
저는 샤우잉이라고 합니다. 장 선생님은 제 아버지시구요. 들어오세요.	小英：我叫小英。张老师是我爸爸。请进! 	xiǎoyīng ：wǒ jiào xiǎoyīng 。 zhānglǎoshī shì wǒ bàba 。 qǐng jìn ! 
감사합니다!	和子：谢谢! 	hézi ：xièxie ! 
11	11	
오늘이 몇 월 몇 일이지?	玛丽：今天几号？ 	mǎlì ：jīntiān jǐhào ？ 
오늘은 10월 31일이야.	大卫：今天十月三十一号。 	dàwèi ：jīntiān shíyuè sānshiyī hào 。 
오늘이 목요일이야?	玛丽：今天星期四吗？ 	mǎlì ：jīntiān xīngqīsì mǎ ？ 
오늘은 목요일이 아니야. 어제가 목요일이었어.	大卫：今天不是星期四，昨天星期四。 	dàwèi ：jīntiān bùshì xīngqīsì ， zuótiān xīngqīsì 。 
내일이 토요일이구나. 저녁에 넌 뭘 할꺼니?	玛丽：明天星期六。晚上你做什么？ 	mǎlì ：míngtiān xīngqīliù 。 wǎnshàng nǐ zuò shénme ？ 
편지를 쓰려고. 너는?	大卫：我写信。你呢？ 	dàwèi ：wǒ xiěxìn 。 nǐ ní ？ 
난 텔레비전이나 볼꺼야.	玛丽：我看电视。 	mǎlì ：wǒ kàndiànshì 。 
12	12	
넌 생일이 언제야?	玛丽：你的生日是几月几号？ 	mǎlì ：nǐ de shēngrì shì jǐyuè jǐhào ？ 
3월 17일이야. 너는?	王兰：三月十七号。你呢？ 	wánglán ：sānyuè shíqīhào 。 nǐ ní ？ 
